Episode no = 10; won: False; Q(s,a) = nan; reward = -416.0; and epsilon = 0.9986666666666667, win percentage = 0.0, 2022-05-01 08:14:26
Episode no = 20; won: False; Q(s,a) = nan; reward = -473.0; and epsilon = 0.9973333333333333, win percentage = 0.0, 2022-05-01 08:14:52
Episode no = 30; won: False; Q(s,a) = nan; reward = -505.0; and epsilon = 0.996, win percentage = 0.0, 2022-05-01 08:15:06
Episode no = 40; won: False; Q(s,a) = -0.389077858290159; reward = -482.0; and epsilon = 0.9946666666666667, win percentage = 0.0, 2022-05-01 08:15:15
Episode no = 50; won: False; Q(s,a) = nan; reward = -416.0; and epsilon = 0.9933333333333333, win percentage = 0.0, 2022-05-01 08:15:27
Episode no = 60; won: False; Q(s,a) = nan; reward = -481.0; and epsilon = 0.992, win percentage = 0.0, 2022-05-01 08:15:40
Episode no = 70; won: False; Q(s,a) = nan; reward = -428.0; and epsilon = 0.9906666666666667, win percentage = 0.0, 2022-05-01 08:16:01
Episode no = 80; won: False; Q(s,a) = nan; reward = -454.0; and epsilon = 0.9893333333333333, win percentage = 0.0, 2022-05-01 08:16:12
Episode no = 90; won: False; Q(s,a) = nan; reward = -478.0; and epsilon = 0.988, win percentage = 0.0, 2022-05-01 08:16:27
Episode no = 100; won: False; Q(s,a) = nan; reward = -353.0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2022-05-01 08:16:44
Episode no = 110; won: False; Q(s,a) = nan; reward = -471.0; and epsilon = 0.9853333333333333, win percentage = 0.0, 2022-05-01 08:16:53
Episode no = 120; won: False; Q(s,a) = nan; reward = -480.0; and epsilon = 0.984, win percentage = 0.0, 2022-05-01 08:17:02
Episode no = 130; won: False; Q(s,a) = nan; reward = -488.0; and epsilon = 0.9826666666666667, win percentage = 0.0, 2022-05-01 08:17:09
Episode no = 140; won: False; Q(s,a) = 3.236507430759409; reward = -445.0; and epsilon = 0.9813333333333333, win percentage = 0.0, 2022-05-01 08:17:17
Episode no = 150; won: False; Q(s,a) = nan; reward = -477.0; and epsilon = 0.98, win percentage = 0.0, 2022-05-01 08:17:31
Episode no = 160; won: False; Q(s,a) = nan; reward = -489.0; and epsilon = 0.9786666666666667, win percentage = 0.0, 2022-05-01 08:17:41
Episode no = 170; won: False; Q(s,a) = nan; reward = -502.0; and epsilon = 0.9773333333333334, win percentage = 0.0, 2022-05-01 08:17:52
Episode no = 180; won: False; Q(s,a) = 10.892716309469783; reward = -422.0; and epsilon = 0.976, win percentage = 0.0, 2022-05-01 08:18:17
Episode no = 190; won: False; Q(s,a) = 5.164619505793617; reward = -486.0; and epsilon = 0.9746666666666667, win percentage = 0.0, 2022-05-01 08:18:32
Episode no = 200; won: False; Q(s,a) = nan; reward = -469.0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2022-05-01 08:18:47
Episode no = 210; won: False; Q(s,a) = 18.49031219898625; reward = -434.0; and epsilon = 0.972, win percentage = 0.0, 2022-05-01 08:19:04
Episode no = 220; won: False; Q(s,a) = nan; reward = -486.0; and epsilon = 0.9706666666666667, win percentage = 0.0, 2022-05-01 08:19:18
Episode no = 230; won: False; Q(s,a) = 21.541280620108566; reward = -490.0; and epsilon = 0.9693333333333334, win percentage = 0.0, 2022-05-01 08:19:26
Episode no = 240; won: False; Q(s,a) = nan; reward = -459.0; and epsilon = 0.968, win percentage = 0.0, 2022-05-01 08:19:51
Episode no = 250; won: False; Q(s,a) = nan; reward = -478.0; and epsilon = 0.9666666666666667, win percentage = 0.0, 2022-05-01 08:20:11
Episode no = 260; won: False; Q(s,a) = 2.6882498242470008; reward = -409.0; and epsilon = 0.9653333333333334, win percentage = 0.0, 2022-05-01 08:20:27
Episode no = 270; won: False; Q(s,a) = 9.9671970998637; reward = -457.0; and epsilon = 0.964, win percentage = 0.0, 2022-05-01 08:20:42
Episode no = 280; won: False; Q(s,a) = nan; reward = -467.0; and epsilon = 0.9626666666666667, win percentage = 0.0, 2022-05-01 08:20:55
Episode no = 290; won: False; Q(s,a) = 22.58169202494872; reward = -458.0; and epsilon = 0.9613333333333334, win percentage = 0.0, 2022-05-01 08:21:10
Episode no = 300; won: False; Q(s,a) = nan; reward = -480.0; and epsilon = 0.96, win percentage = 0.0, 2022-05-01 08:21:27
Episode no = 310; won: False; Q(s,a) = nan; reward = -480.0; and epsilon = 0.9586666666666667, win percentage = 0.0, 2022-05-01 08:21:48
Episode no = 320; won: False; Q(s,a) = nan; reward = -489.0; and epsilon = 0.9573333333333334, win percentage = 0.0, 2022-05-01 08:21:56
Episode no = 330; won: False; Q(s,a) = 28.156962278655516; reward = -423.0; and epsilon = 0.956, win percentage = 0.0, 2022-05-01 08:22:13
Episode no = 340; won: False; Q(s,a) = 27.488608257085527; reward = -460.0; and epsilon = 0.9546666666666667, win percentage = 0.0, 2022-05-01 08:22:29
Episode no = 350; won: False; Q(s,a) = 29.716656680804736; reward = -442.0; and epsilon = 0.9533333333333334, win percentage = 0.0, 2022-05-01 08:22:42
Episode no = 360; won: False; Q(s,a) = 27.796030334291824; reward = -445.0; and epsilon = 0.952, win percentage = 0.0, 2022-05-01 08:22:55
Episode no = 370; won: False; Q(s,a) = nan; reward = -483.0; and epsilon = 0.9506666666666667, win percentage = 0.0, 2022-05-01 08:23:12
Episode no = 380; won: False; Q(s,a) = nan; reward = -426.0; and epsilon = 0.9493333333333334, win percentage = 0.0, 2022-05-01 08:23:21
Episode no = 390; won: False; Q(s,a) = nan; reward = -488.0; and epsilon = 0.948, win percentage = 0.0, 2022-05-01 08:23:29
Episode no = 400; won: False; Q(s,a) = 31.946697647729692; reward = -424.0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2022-05-01 08:23:46
